Branch,Opening_Rank,Closing_Rank,Category,Main_Category,Quota,Gender,Year,Source_File
"Electronics 
and 
Telecommunic
ations",41421.0,42685.0,UR/X/OP,UR,X,OP,2022,2022_round2.pdf
"Electronics 
and 
Telecommunic
ations",39265.0,52698.0,UR/X/F,UR,X,F,2022,2022_round2.pdf
"Electronics 
and 
Telecommunic
ations",64638.0,75143.0,OBC/X/F,OBC,X,F,2022,2022_round2.pdf
"Electronics 
and 
Telecommunic
ations",253046.0,261086.0,ST/X/OP,ST,X,OP,2022,2022_round2.pdf
"Electronics 
and 
Telecommunic
ations",352252.0,462794.0,ST/X/F,ST,X,F,2022,2022_round2.pdf
IP,69000.0,95886.0,UR/X/OP,UR,X,OP,2022,2022_round2.pdf
IP,77049.0,109863.0,UR/X/OP,UR,X,OP,2022,2022_round2.pdf
IP,113638.0,113638.0,UR/X/F,UR,X,F,2022,2022_round2.pdf
IP,93722.0,114615.0,FW/OP,FW,OP,,2022,2022_round2.pdf
IP,129920.0,185938.0,EWS,EWS,,,2022,2022_round2.pdf
IP,193292.0,361921.0,SC/X/OP,SC,X,OP,2022,2022_round2.pdf
IP,635143.0,635143.0,ST/X/F,ST,X,F,2022,2022_round2.pdf
IP,446030.0,902406.0,ST/X/OP,ST,X,OP,2022,2022_round2.pdf
IT,23514.0,23514.0,UR/S/OP,UR,S,OP,2022,2022_round2.pdf
IT,23952.0,23952.0,FW/OP,FW,OP,,2022,2022_round2.pdf
IT,22366.0,28872.0,UR/X/OP,UR,X,OP,2022,2022_round2.pdf
IT,26582.0,29567.0,UR/X/OP,UR,X,OP,2022,2022_round2.pdf
IT,25577.0,31016.0,EWS,EWS,,,2022,2022_round2.pdf
IT,26563.0,31710.0,UR/X/F,UR,X,F,2022,2022_round2.pdf
IT,28201.0,36678.0,OBC/X/OP,OBC,X,OP,2022,2022_round2.pdf
IT,43397.0,43397.0,OBC/X/F,OBC,X,F,2022,2022_round2.pdf
IT,102111.0,102111.0,SC/X/OP,SC,X,OP,2022,2022_round2.pdf
IT,176502.0,193711.0,SC/X/F,SC,X,F,2022,2022_round2.pdf
IT,133860.0,210979.0,ST/X/OP,ST,X,OP,2022,2022_round2.pdf
