branch,opening_rank,closing_rank,category,domicile,year,source_file
MECH,464512,557591,ST/X/F,Y,2023,2023_round1.pdf
MECH,297259,587774,ST/X/OP,Y,2023,2023_round1.pdf
MECH,279483,279483,UR/NCC/F,Y,2023,2023_round1.pdf
MECH,214486,214486,UR/S/OP,Y,2023,2023_round1.pdf
MECH,228978,228978,UR/S/OP,Y,2023,2023_round1.pdf
MECH,83699,97524,UR/X/F,Y,2023,2023_round1.pdf
MECH,60893,70010,UR/X/OP,AI,2023,2023_round1.pdf
MECH,36576,77349,UR/X/OP,Y,2023,2023_round1.pdf
IP,700697,700697,ST/X/OP,Y,2023,2023_round2.pdf
IP,228978,521568,UR/S/OP,Y,2023,2023_round2.pdf
IP,143683,228755,UR/X/F,Y,2023,2023_round2.pdf
IP,107086,151207,UR/X/OP,Y,2023,2023_round2.pdf
IP,124735,155978,UR/X/OP,AI,2023,2023_round2.pdf
IT,60180,60455,EWS,Y,2023,2023_round2.pdf
IT,49553,49553,FW/OP,Y,2023,2023_round2.pdf
IT,51560,55314,OBC/X/OP,Y,2023,2023_round2.pdf
IT,182181,182181,SC/X/F,Y,2023,2023_round2.pdf
IT,166468,173065,SC/X/OP,Y,2023,2023_round2.pdf
IT,128162,189917,ST/X/OP,Y,2023,2023_round2.pdf
IT,616512,616512,UR/H/OP,Y,2023,2023_round2.pdf
IT,64745,66526,UR/X/F,Y,2023,2023_round2.pdf
IT,29903,37162,UR/X/OP,AI,2023,2023_round2.pdf
IT,50541,60286,UR/X/OP,Y,2023,2023_round2.pdf
MECH,111578,112732,EWS,Y,2023,2023_round2.pdf
MECH,107506,116963,FW/OP,Y,2023,2023_round2.pdf
MECH,128588,163603,OBC/X/F,Y,2023,2023_round2.pdf
MECH,71904,100272,OBC/X/OP,Y,2023,2023_round2.pdf
MECH,519985,519985,ST/X/F,Y,2023,2023_round2.pdf
MECH,488504,700394,ST/X/OP,Y,2023,2023_round2.pdf
MECH,111989,130549,UR/X/F,Y,2023,2023_round2.pdf
IP,150804,154743,OBC/X/F,Y,2024,2024_round1.pdf
IP,135446,171437,OBC/X/OP,Y,2024,2024_round1.pdf
IP,314089,473106,SC/X/F,Y,2024,2024_round1.pdf
IP,352543,1008443,SC/X/OP,Y,2024,2024_round1.pdf
IP,361634,361634,UR/S/OP,Y,2024,2024_round1.pdf
IP,99115,146666,UR/X/F,Y,2024,2024_round1.pdf
IP,71791,82816,UR/X/OP,AI,2024,2024_round1.pdf
IP,82631,132257,UR/X/OP,Y,2024,2024_round1.pdf
IT,32713,38077,EWS,Y,2024,2024_round1.pdf
IT,26622,32923,FW/OP,Y,2024,2024_round1.pdf
IT,799084,799084,OBC/H/F,Y,2024,2024_round1.pdf
IT,135433,135433,OBC/NCC/OP,Y,2024,2024_round1.pdf
IT,124444,124444,OBC/S/OP,Y,2024,2024_round1.pdf
IT,48736,52965,OBC/X/F,Y,2024,2024_round1.pdf
IT,40381,48343,OBC/X/OP,Y,2024,2024_round1.pdf
IT,1083940,1083940,SC/H/OP,Y,2024,2024_round1.pdf
IT,133546,238391,SC/X/F,Y,2024,2024_round1.pdf
IT,98297,180392,SC/X/OP,Y,2024,2024_round1.pdf
IT,342716,470677,ST/X/F,Y,2024,2024_round1.pdf
IT,336276,479369,ST/X/OP,Y,2024,2024_round1.pdf
IT,953109,953109,UR/FF/F,Y,2024,2024_round1.pdf
IT,310640,310640,UR/H/OP,Y,2024,2024_round1.pdf
IT,523925,523925,UR/NCC/F,Y,2024,2024_round1.pdf
IT,107494,107494,UR/S/F,Y,2024,2024_round1.pdf
IT,71838,91980,UR/S/OP,Y,2024,2024_round1.pdf
IT,35362,44875,UR/X/F,Y,2024,2024_round1.pdf
IT,34190,39030,UR/X/OP,AI,2024,2024_round1.pdf
IT,27597,39520,UR/X/OP,Y,2024,2024_round1.pdf
MECH,55421,80663,EWS,Y,2024,2024_round1.pdf
MECH,44638,73927,FW/OP,Y,2024,2024_round1.pdf
MECH,104532,104532,OBC/S/OP,Y,2024,2024_round1.pdf
MECH,103621,110326,OBC/X/F,Y,2024,2024_round1.pdf
EI,521252,521252,ST/X/F,Y,2024,2024_round2.pdf
MECH,227331,603009,ST/X/F,Y,2024,2024_round2.pdf
IP,954644,954644,ST/X/F,Y,2024,2024_round2.pdf
CSE,10953,10953,ST/X/OP,Y,2024,2024_round2.pdf
CE,246829,406743,ST/X/OP,Y,2024,2024_round2.pdf
IT,419154,419154,ST/X/OP,Y,2024,2024_round2.pdf
EE,528427,635386,ST/X/OP,Y,2024,2024_round2.pdf
MECH,523813,882182,ST/X/OP,Y,2024,2024_round2.pdf
EI,619324,1153192,ST/X/OP,Y,2024,2024_round2.pdf
BM,1353397,1353397,ST/X/OP,Y,2024,2024_round2.pdf
MECH,922199,922199,UR/NCC/OP,Y,2024,2024_round2.pdf
CE,1023661,1023661,UR/S/F,Y,2024,2024_round2.pdf
IT,71838,71838,UR/S/OP,Y,2024,2024_round2.pdf
IP,389178,389178,UR/S/OP,Y,2024,2024_round2.pdf
CSE,40534,54537,UR/X/F,Y,2024,2024_round2.pdf
IT,54625,61927,UR/X/F,Y,2024,2024_round2.pdf
EI,73650,73650,UR/X/F,Y,2024,2024_round2.pdf
EE,85503,88802,UR/X/F,Y,2024,2024_round2.pdf
MECH,93845,100958,UR/X/F,Y,2024,2024_round2.pdf
IP,103215,126463,UR/X/F,Y,2024,2024_round2.pdf
CE,112924,151093,UR/X/F,Y,2024,2024_round2.pdf
BM,156948,184092,UR/X/F,Y,2024,2024_round2.pdf
IT,3907,3907,UR/X/OP,AI,2024,2024_round2.pdf
CSE,9378,9378,UR/X/OP,Y,2024,2024_round2.pdf
IT,11528,42938,UR/X/OP,Y,2024,2024_round2.pdf
EI,57740,69256,UR/X/OP,Y,2024,2024_round2.pdf
EI,68713,70020,UR/X/OP,AI,2024,2024_round2.pdf
EE,59510,79101,UR/X/OP,Y,2024,2024_round2.pdf
EE,24244,80104,UR/X/OP,AI,2024,2024_round2.pdf
MECH,82713,89313,UR/X/OP,AI,2024,2024_round2.pdf
MECH,78489,96818,UR/X/OP,Y,2024,2024_round2.pdf
CE,53868,104781,UR/X/OP,Y,2024,2024_round2.pdf
CE,92007,108401,UR/X/OP,AI,2024,2024_round2.pdf
IP,94053,143191,UR/X/OP,Y,2024,2024_round2.pdf
IP,131452,143800,UR/X/OP,AI,2024,2024_round2.pdf
BM,117716,163802,UR/X/OP,AI,2024,2024_round2.pdf
BM,108631,199966,UR/X/OP,Y,2024,2024_round2.pdf
