branch,opening_rank,closing_rank,category,main_category,quota,gender,year,source_file
MECH,197776,197776,UR/NCC/OP,UR,NCC,OP,2020,2020_round1.pdf
MECH,128781,220361,SC/X/OP,SC,X,OP,2020,2020_round1.pdf
MECH,164274,291075,SC/X/F,SC,X,F,2020,2020_round1.pdf
MECH,377586,377586,UR/FF/OP,UR,FF,OP,2020,2020_round1.pdf
MECH,232031,393398,ST/X/OP,ST,X,OP,2020,2020_round1.pdf
MECH,402388,534787,ST/X/F,ST,X,F,2020,2020_round1.pdf
CE,133549,218749,FW/OP,FW,OP,OP,2020,2020_round1.pdf
CE,532334,978090,OBC/X/OP,OBC,X,OP,2020,2020_round1.pdf
CSE,761958,761958,FW/OP,FW,OP,OP,2020,2020_round1.pdf
CSE,836832,836832,EWS,EWS,,OP,2020,2020_round1.pdf
CSE,257305,983900,UR/X/OP,UR,X,OP,2020,2020_round1.pdf
EC,281301,320121,ST/X/OP,ST,X,OP,2020,2020_round2.pdf
EC,912305,912305,UR/H/OP,UR,H,OP,2020,2020_round2.pdf
EE,35068,39039,EWS,EWS,,OP,2020,2020_round2.pdf
EE,34833,45282,FW/OP,FW,OP,OP,2020,2020_round2.pdf
EE,42791,45469,UR/X/OP,UR,X,OP,2020,2020_round2.pdf
EE,36831,45833,UR/X/OP,UR,X,OP,2020,2020_round2.pdf
EE,48073,49115,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf
EE,44926,53023,UR/X/F,UR,X,F,2020,2020_round2.pdf
EE,183255,183255,SC/X/OP,SC,X,OP,2020,2020_round2.pdf
EE,295377,295377,ST/X/OP,ST,X,OP,2020,2020_round2.pdf
EI,42191,43398,UR/X/F,UR,X,F,2020,2020_round2.pdf
EI,35569,43483,FW/OP,FW,OP,OP,2020,2020_round2.pdf
EI,32777,45744,UR/X/OP,UR,X,OP,2020,2020_round2.pdf
EI,47345,47345,UR/X/OP,UR,X,OP,2020,2020_round2.pdf
EI,50431,50431,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf
EI,37264,52738,EWS,EWS,,OP,2020,2020_round2.pdf
EI,372901,372901,ST/X/OP,ST,X,OP,2020,2020_round2.pdf
EI,426587,610672,ST/X/F,ST,X,F,2020,2020_round2.pdf
IP,51992,51992,FW/OP,FW,OP,OP,2020,2020_round2.pdf
IP,60393,60393,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf
IP,50839,65908,UR/X/OP,UR,X,OP,2020,2020_round2.pdf
IP,61807,79276,UR/X/F,UR,X,F,2020,2020_round2.pdf
IP,57092,80564,UR/X/OP,UR,X,OP,2020,2020_round2.pdf
IP,154457,154457,OBC/X/F,OBC,X,F,2020,2020_round2.pdf
IP,246556,268432,SC/X/OP,SC,X,OP,2020,2020_round2.pdf
IP,479998,653170,ST/X/OP,ST,X,OP,2020,2020_round2.pdf
IP,758769,758769,ST/X/F,ST,X,F,2020,2020_round2.pdf
IT,20549,22786,FW/OP,FW,OP,OP,2020,2020_round2.pdf
IT,20677,27473,UR/X/OP,UR,X,OP,2020,2020_round2.pdf
IT,24545,27728,UR/X/OP,UR,X,OP,2020,2020_round2.pdf
IT,23166,28839,EWS,EWS,,OP,2020,2020_round2.pdf
IT,24868,30737,UR/X/F,UR,X,F,2020,2020_round2.pdf
IT,34732,35714,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf
IT,80422,91837,OBC/X/F,OBC,X,F,2020,2020_round2.pdf
IT,129507,176662,SC/X/OP,SC,X,OP,2020,2020_round2.pdf
IT,168966,204400,SC/X/F,SC,X,F,2020,2020_round2.pdf
IT,287874,287874,ST/X/OP,ST,X,OP,2020,2020_round2.pdf
IT,522986,522986,OBC/H/OP,OBC,H,OP,2020,2020_round2.pdf
IT,800497,800497,UR/H/OP,UR,H,OP,2020,2020_round2.pdf
MECH,36896,44397,FW/OP,FW,OP,OP,2020,2020_round2.pdf
MECH,47403,47403,UR/X/OP,UR,X,OP,2020,2020_round2.pdf
MECH,18808,50397,UR/X/OP,UR,X,OP,2020,2020_round2.pdf
MECH,36757,50398,EWS,EWS,,OP,2020,2020_round2.pdf
MECH,44504,50721,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf
MECH,46596,56141,UR/X/F,UR,X,F,2020,2020_round2.pdf
MECH,130980,136646,SC/X/OP,SC,X,OP,2020,2020_round2.pdf
MECH,232707,232707,SC/X/F,SC,X,F,2020,2020_round2.pdf
MECH,276005,297123,ST/X/OP,ST,X,OP,2020,2020_round2.pdf
MECH,395644,395644,ST/X/F,ST,X,F,2020,2020_round2.pdf
