branch,opening_rank,closing_rank,category,main_category,quota,gender,year,source_file,domicile
IP,51992,51992,FW/OP,FW,OP,OP,2020,2020_round2.pdf,Y
IP,60393,60393,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf,Y
IP,50839,65908,UR/X/OP,UR,X,OP,2020,2020_round2.pdf,AI
IP,61807,79276,UR/X/F,UR,X,F,2020,2020_round2.pdf,Y
IP,57092,80564,UR/X/OP,UR,X,OP,2020,2020_round2.pdf,Y
IP,154457,154457,OBC/X/F,OBC,X,F,2020,2020_round2.pdf,Y
IP,246556,268432,SC/X/OP,SC,X,OP,2020,2020_round2.pdf,Y
IP,479998,653170,ST/X/OP,ST,X,OP,2020,2020_round2.pdf,Y
IP,758769,758769,ST/X/F,ST,X,F,2020,2020_round2.pdf,Y
IT,20549,22786,FW/OP,FW,OP,OP,2020,2020_round2.pdf,Y
IT,20677,27473,UR/X/OP,UR,X,OP,2020,2020_round2.pdf,Y
IT,24545,27728,UR/X/OP,UR,X,OP,2020,2020_round2.pdf,AI
IT,23166,28839,EWS,EWS,GENERAL,OP,2020,2020_round2.pdf,Y
IT,24868,30737,UR/X/F,UR,X,F,2020,2020_round2.pdf,Y
IT,34732,35714,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf,Y
IT,80422,91837,OBC/X/F,OBC,X,F,2020,2020_round2.pdf,Y
IT,129507,176662,SC/X/OP,SC,X,OP,2020,2020_round2.pdf,Y
IT,168966,204400,SC/X/F,SC,X,F,2020,2020_round2.pdf,Y
IT,287874,287874,ST/X/OP,ST,X,OP,2020,2020_round2.pdf,Y
IT,522986,522986,OBC/H/OP,OBC,H,OP,2020,2020_round2.pdf,Y
IT,800497,800497,UR/H/OP,UR,H,OP,2020,2020_round2.pdf,Y
MECH,36896,44397,FW/OP,FW,OP,OP,2020,2020_round2.pdf,Y
MECH,47403,47403,UR/X/OP,UR,X,OP,2020,2020_round2.pdf,AI
MECH,18808,50397,UR/X/OP,UR,X,OP,2020,2020_round2.pdf,Y
MECH,36757,50398,EWS,EWS,GENERAL,OP,2020,2020_round2.pdf,Y
MECH,44504,50721,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf,Y
MECH,46596,56141,UR/X/F,UR,X,F,2020,2020_round2.pdf,Y
MECH,130980,136646,SC/X/OP,SC,X,OP,2020,2020_round2.pdf,Y
MECH,232707,232707,SC/X/F,SC,X,F,2020,2020_round2.pdf,Y
MECH,276005,297123,ST/X/OP,ST,X,OP,2020,2020_round2.pdf,Y
MECH,395644,395644,ST/X/F,ST,X,F,2020,2020_round2.pdf,Y
CE,527210,527210,ST/X/OP,ST,X,OP,2020,2020_round2.pdf,Y
CE,378488,533139,FW/OP,FW,OP,OP,2020,2020_round2.pdf,Y
CE,166129,958887,UR/X/OP,UR,X,OP,2020,2020_round2.pdf,Y
CSE,204261,326006,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf,Y
CSE,519414,519414,SC/X/OP,SC,X,OP,2020,2020_round2.pdf,Y
EC,756325,756325,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf,Y
CSE,393509,393509,FW/OP,FW,OP,OP,2020,2020_round2.pdf,Y
EI,563189,722290,ST/X/F,ST,X,F,2021,2021_round1.pdf,Y
EI,589106,741077,ST/X/OP,ST,X,OP,2021,2021_round1.pdf,Y
IP,89115,92351,FW/OP,FW,OP,OP,2021,2021_round1.pdf,Y
IP,80106,103367,UR/X/OP,UR,X,OP,2021,2021_round1.pdf,AI
IP,91131,107760,EWS,EWS,GENERAL,OP,2021,2021_round1.pdf,Y
IP,69685,131849,UR/X/OP,UR,X,OP,2021,2021_round1.pdf,Y
IP,128308,132260,OBC/X/F,OBC,X,F,2021,2021_round1.pdf,Y
IP,95516,135635,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf,Y
IP,64560,137789,UR/X/F,UR,X,F,2021,2021_round1.pdf,Y
IP,314715,314715,UR/S/OP,UR,S,OP,2021,2021_round1.pdf,Y
IP,319493,499182,SC/X/OP,SC,X,OP,2021,2021_round1.pdf,Y
IP,444371,537033,SC/X/F,SC,X,F,2021,2021_round1.pdf,Y
IP,379818,632437,ST/X/OP,ST,X,OP,2021,2021_round1.pdf,Y
IT,17301,21140,FW/OP,FW,OP,OP,2021,2021_round1.pdf,Y
IT,19401,24455,UR/X/OP,UR,X,OP,2021,2021_round1.pdf,AI
IT,20961,26913,EWS,EWS,GENERAL,OP,2021,2021_round1.pdf,Y
IT,18805,27959,UR/X/OP,UR,X,OP,2021,2021_round1.pdf,Y
IT,18487,31227,UR/X/F,UR,X,F,2021,2021_round1.pdf,Y
IT,34253,34253,OBC/NCC/OP,OBC,NCC,OP,2021,2021_round1.pdf,Y
IT,28125,34372,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf,Y
IT,39302,39302,UR/S/OP,UR,S,OP,2021,2021_round1.pdf,Y
IT,34470,40035,OBC/X/F,OBC,X,F,2021,2021_round1.pdf,Y
IT,110250,132532,SC/X/OP,SC,X,OP,2021,2021_round1.pdf,Y
IT,148607,148607,UR/S/F,UR,S,F,2021,2021_round1.pdf,Y
IT,155314,194307,SC/X/F,SC,X,F,2021,2021_round1.pdf,Y
IT,308951,308951,UR/FF/F,UR,FF,F,2021,2021_round1.pdf,Y
IT,237547,314426,ST/X/OP,ST,X,OP,2021,2021_round1.pdf,Y
IT,277779,324852,ST/X/F,ST,X,F,2021,2021_round1.pdf,Y
IT,469279,469279,UR/H/OP,UR,H,OP,2021,2021_round1.pdf,Y
IT,553899,553899,OBC/H/OP,OBC,H,OP,2021,2021_round1.pdf,Y
MECH,47863,54759,UR/X/OP,UR,X,OP,2021,2021_round1.pdf,AI
MECH,45383,59588,FW/OP,FW,OP,OP,2021,2021_round1.pdf,Y
MECH,73814,73814,UR/S/OP,UR,S,OP,2021,2021_round1.pdf,Y
MECH,45487,74995,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf,Y
MECH,65135,75318,EWS,EWS,GENERAL,OP,2021,2021_round1.pdf,Y
MECH,23603,77707,UR/X/OP,UR,X,OP,2021,2021_round1.pdf,Y
MECH,82698,94180,OBC/X/F,OBC,X,F,2021,2021_round1.pdf,Y
MECH,50507,97570,UR/X/F,UR,X,F,2021,2021_round1.pdf,Y
MECH,152952,152952,UR/FF/OP,UR,FF,OP,2021,2021_round1.pdf,Y
MECH,167089,167089,UR/NCC/OP,UR,NCC,OP,2021,2021_round1.pdf,Y
MECH,142870,283634,SC/X/OP,SC,X,OP,2021,2021_round1.pdf,Y
MECH,347555,347555,UR/S/F,UR,S,F,2021,2021_round1.pdf,Y
MECH,250893,390941,SC/X/F,SC,X,F,2021,2021_round1.pdf,Y
MECH,198582,493461,ST/X/OP,ST,X,OP,2021,2021_round1.pdf,Y
MECH,400434,503532,ST/X/F,ST,X,F,2021,2021_round1.pdf,Y
CE,370829,469224,FW/OP,FW,OP,OP,2021,2021_round1.pdf,Y
CE,605042,605042,UR/X/OP,UR,X,OP,2021,2021_round1.pdf,Y
CE,426557,763980,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf,Y
CSE,368511,738237,FW/OP,FW,OP,OP,2021,2021_round1.pdf,Y
CSE,742156,742156,SC/X/OP,SC,X,OP,2021,2021_round1.pdf,Y
CSE,351614,769516,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf,Y
MECH,521150,521150,FW/OP,FW,OP,OP,2021,2021_round1.pdf,Y
MECH,736563,772235,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf,Y
CSE,478857,681018,FW/OP,FW,OP,OP,2021,2021_round1.pdf,Y
CSE,321829,747212,UR/X/OP,UR,X,OP,2021,2021_round1.pdf,Y
CSE,679546,760886,SC/X/OP,SC,X,OP,2021,2021_round1.pdf,Y
CSE,798609,798609,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf,Y
CSE,401545,401545,UR/X/OP,UR,X,OP,2021,2021_round1.pdf,Y
AIADS,449051,449051,EWS,EWS,GENERAL,OP,2021,2021_round1.pdf,Y
EE,22129,33944,OBC/X/OP,OBC,X,OP,2021,2021_round2.pdf,Y
EE,28744,39738,UR/X/OP,UR,X,OP,2021,2021_round2.pdf,Y
EE,35058,40523,UR/X/OP,UR,X,OP,2021,2021_round2.pdf,AI
EE,37448,42403,EWS,EWS,GENERAL,OP,2021,2021_round2.pdf,Y
EE,36674,48975,UR/X/F,UR,X,F,2021,2021_round2.pdf,Y
EE,54385,54385,OBC/X/F,OBC,X,F,2021,2021_round2.pdf,Y
EE,110143,110143,SC/X/F,SC,X,F,2021,2021_round2.pdf,Y
EE,147876,147876,OBC/H/F,OBC,H,F,2021,2021_round2.pdf,Y
EE,178106,199389,ST/X/OP,ST,X,OP,2021,2021_round2.pdf,Y
EE,430792,430792,SC/NCC/OP,SC,NCC,OP,2021,2021_round2.pdf,Y
EE,678330,678330,SC/S/OP,SC,S,OP,2021,2021_round2.pdf,Y
EI,35557,35557,FW/OP,FW,OP,OP,2021,2021_round2.pdf,Y
EI,30762,36967,UR/X/OP,UR,X,OP,2021,2021_round2.pdf,Y
EI,37098,37098,UR/X/OP,UR,X,OP,2021,2021_round2.pdf,AI
EI,40160,40160,UR/X/F,UR,X,F,2021,2021_round2.pdf,Y
EI,41159,41159,OBC/X/OP,OBC,X,OP,2021,2021_round2.pdf,Y
EI,46729,46729,EWS,EWS,GENERAL,OP,2021,2021_round2.pdf,Y
EI,59678,69761,OBC/X/F,OBC,X,F,2021,2021_round2.pdf,Y
EI,90059,90059,UR/FF/OP,UR,FF,OP,2021,2021_round2.pdf,Y
EI,161453,161453,ST/X/OP,ST,X,OP,2021,2021_round2.pdf,Y
EI,257153,257153,ST/X/F,ST,X,F,2021,2021_round2.pdf,Y
IP,55669,61013,UR/X/F,UR,X,F,2021,2021_round2.pdf,Y
IP,63888,66366,UR/X/OP,UR,X,OP,2021,2021_round2.pdf,Y
IP,70491,70491,FW/OP,FW,OP,OP,2021,2021_round2.pdf,Y
IP,72930,81560,EWS,EWS,GENERAL,OP,2021,2021_round2.pdf,Y
IP,301107,301107,ST/X/OP,ST,X,OP,2021,2021_round2.pdf,Y
IP,307779,635125,ST/X/F,ST,X,F,2021,2021_round2.pdf,Y
IT,11802,17446,UR/X/OP,UR,X,OP,2021,2021_round2.pdf,Y
IT,12263,17676,FW/OP,FW,OP,OP,2021,2021_round2.pdf,Y
IT,18205,18205,EWS,EWS,GENERAL,OP,2021,2021_round2.pdf,Y
IT,18002,18825,UR/X/OP,UR,X,OP,2021,2021_round2.pdf,AI
IT,18029,21376,OBC/X/OP,OBC,X,OP,2021,2021_round2.pdf,Y
IT,16689,23692,UR/X/F,UR,X,F,2021,2021_round2.pdf,Y
IT,34253,34253,OBC/NCC/OP,OBC,NCC,OP,2021,2021_round2.pdf,Y
IT,44943,44943,SC/X/OP,SC,X,OP,2021,2021_round2.pdf,Y
IT,109666,143218,ST/X/OP,ST,X,OP,2021,2021_round2.pdf,Y
IT,494043,494043,OBC/H/OP,OBC,H,OP,2021,2021_round2.pdf,Y
MECH,23603,41341,UR/X/OP,UR,X,OP,2021,2021_round2.pdf,Y
MECH,27472,44450,FW/OP,FW,OP,OP,2021,2021_round2.pdf,Y
MECH,45487,45487,OBC/X/OP,OBC,X,OP,2021,2021_round2.pdf,Y
MECH,43892,45713,UR/X/OP,UR,X,OP,2021,2021_round2.pdf,AI
MECH,55578,60368,UR/X/F,UR,X,F,2021,2021_round2.pdf,Y
MECH,152952,152952,UR/FF/OP,UR,FF,OP,2021,2021_round2.pdf,Y
MECH,179075,231024,ST/X/OP,ST,X,OP,2021,2021_round2.pdf,Y
CSE,637122,674005,OBC/X/OP,OBC,X,OP,2021,2021_round2.pdf,Y
CSE,394695,775627,UR/X/OP,UR,X,OP,2021,2021_round2.pdf,Y
CSE,801714,801714,FW/OP,FW,OP,OP,2021,2021_round2.pdf,Y
EC,700621,700621,SC/X/OP,SC,X,OP,2021,2021_round2.pdf,Y
MECH,733850,733850,SC/X/OP,SC,X,OP,2021,2021_round2.pdf,Y
CSE,422407,504308,FW/OP,FW,OP,OP,2021,2021_round2.pdf,Y
CSE,321077,321077,OBC/X/OP,OBC,X,OP,2021,2021_round2.pdf,Y
AIADS,739887,813977,UR/X/OP,UR,X,OP,2021,2021_round2.pdf,Y
CE,693434,693434,ST/X/OP,ST,X,OP,2021,2021_round2.pdf,Y
CSE,302285,302285,OBC/X/OP,OBC,X,OP,2021,2021_round2.pdf,Y
IP,541736,541736,UR/S/F,UR,S,F,2022,2022_round1.pdf,Y
IP,244816,684663,ST/X/OP,ST,X,OP,2022,2022_round1.pdf,Y
IP,201045,688125,SC/X/F,SC,X,F,2022,2022_round1.pdf,Y
IP,239952,873844,SC/X/OP,SC,X,OP,2022,2022_round1.pdf,Y
IT,17902,19897,FW/OP,FW,OP,OP,2022,2022_round1.pdf,Y
IT,21079,26905,UR/X/OP,UR,X,OP,2022,2022_round1.pdf,AI
IT,18631,27174,UR/X/OP,UR,X,OP,2022,2022_round1.pdf,Y
IT,26012,29804,OBC/X/OP,OBC,X,OP,2022,2022_round1.pdf,Y
IT,26950,33030,EWS,EWS,GENERAL,OP,2022,2022_round1.pdf,Y
IT,28884,36842,OBC/X/F,OBC,X,F,2022,2022_round1.pdf,Y
IT,28577,37407,UR/X/F,UR,X,F,2022,2022_round1.pdf,Y
IT,42293,52893,UR/S/OP,UR,S,OP,2022,2022_round1.pdf,Y
IT,54533,54533,OBC/S/OP,OBC,S,OP,2022,2022_round1.pdf,Y
IT,89869,89869,UR/S/F,UR,S,F,2022,2022_round1.pdf,Y
IT,94027,94027,OBC/NCC/OP,OBC,NCC,OP,2022,2022_round1.pdf,Y
IT,122082,122082,UR/H/OP,UR,H,OP,2022,2022_round1.pdf,Y
IT,66133,133986,SC/X/OP,SC,X,OP,2022,2022_round1.pdf,Y
IT,115214,185545,SC/X/F,SC,X,F,2022,2022_round1.pdf,Y
IT,258845,258845,UR/NCC/F,UR,NCC,F,2022,2022_round1.pdf,Y
IT,199111,284991,ST/X/OP,ST,X,OP,2022,2022_round1.pdf,Y
IT,287836,326620,ST/X/F,ST,X,F,2022,2022_round1.pdf,Y
IT,376358,376358,OBC/H/OP,OBC,H,OP,2022,2022_round1.pdf,Y
IT,605140,605140,UR/FF/F,UR,FF,F,2022,2022_round1.pdf,Y
MECH,50615,67876,FW/OP,FW,OP,OP,2022,2022_round1.pdf,Y
MECH,59412,68136,UR/X/OP,UR,X,OP,2022,2022_round1.pdf,AI
MECH,50023,77476,UR/X/OP,UR,X,OP,2022,2022_round1.pdf,Y
MECH,63146,77872,OBC/X/OP,OBC,X,OP,2022,2022_round1.pdf,Y
MECH,68157,84360,EWS,EWS,GENERAL,OP,2022,2022_round1.pdf,Y
ENTC,31766,40507,FW/OP,FW,OP,OP,2022,2022_round2.pdf,Y
ENTC,32498,40621,UR/X/OP,UR,X,OP,2022,2022_round2.pdf,Y
ENTC,37248,40815,OBC/X/OP,OBC,X,OP,2022,2022_round2.pdf,Y
ENTC,41788,41788,EWS,EWS,GENERAL,OP,2022,2022_round2.pdf,Y
ENTC,41421,42685,UR/X/OP,UR,X,OP,2022,2022_round2.pdf,Y
ENTC,39265,52698,UR/X/F,UR,X,F,2022,2022_round2.pdf,Y
ENTC,64638,75143,OBC/X/F,OBC,X,F,2022,2022_round2.pdf,Y
ENTC,253046,261086,ST/X/OP,ST,X,OP,2022,2022_round2.pdf,Y
ENTC,352252,462794,ST/X/F,ST,X,F,2022,2022_round2.pdf,Y
IP,69000,95886,UR/X/OP,UR,X,OP,2022,2022_round2.pdf,AI
IP,77049,109863,UR/X/OP,UR,X,OP,2022,2022_round2.pdf,Y
IP,113638,113638,UR/X/F,UR,X,F,2022,2022_round2.pdf,Y
IP,93722,114615,FW/OP,FW,OP,OP,2022,2022_round2.pdf,Y
IP,129920,185938,EWS,EWS,GENERAL,OP,2022,2022_round2.pdf,Y
IP,193292,361921,SC/X/OP,SC,X,OP,2022,2022_round2.pdf,Y
IP,635143,635143,ST/X/F,ST,X,F,2022,2022_round2.pdf,Y
IP,446030,902406,ST/X/OP,ST,X,OP,2022,2022_round2.pdf,Y
IT,23514,23514,UR/S/OP,UR,S,OP,2022,2022_round2.pdf,Y
IT,23952,23952,FW/OP,FW,OP,OP,2022,2022_round2.pdf,Y
IT,22366,28872,UR/X/OP,UR,X,OP,2022,2022_round2.pdf,Y
IT,26582,29567,UR/X/OP,UR,X,OP,2022,2022_round2.pdf,AI
IT,25577,31016,EWS,EWS,GENERAL,OP,2022,2022_round2.pdf,Y
IT,26563,31710,UR/X/F,UR,X,F,2022,2022_round2.pdf,Y
IT,28201,36678,OBC/X/OP,OBC,X,OP,2022,2022_round2.pdf,Y
IT,43397,43397,OBC/X/F,OBC,X,F,2022,2022_round2.pdf,Y
IT,102111,102111,SC/X/OP,SC,X,OP,2022,2022_round2.pdf,Y
IT,176502,193711,SC/X/F,SC,X,F,2022,2022_round2.pdf,Y
IT,133860,210979,ST/X/OP,ST,X,OP,2022,2022_round2.pdf,Y
IT,376358,376358,OBC/H/OP,OBC,H,OP,2022,2022_round2.pdf,Y
MECH,59035,59035,UR/X/OP,UR,X,OP,2022,2022_round2.pdf,AI
MECH,64695,64695,FW/OP,FW,OP,OP,2022,2022_round2.pdf,Y
MECH,53780,68267,UR/X/OP,UR,X,OP,2022,2022_round2.pdf,Y
MECH,60060,70164,OBC/X/OP,OBC,X,OP,2022,2022_round2.pdf,Y
MECH,70638,73892,EWS,EWS,GENERAL,OP,2022,2022_round2.pdf,Y
MECH,78374,86161,UR/X/F,UR,X,F,2022,2022_round2.pdf,Y
MECH,129942,129942,UR/S/OP,UR,S,OP,2022,2022_round2.pdf,Y
MECH,136544,136544,OBC/X/F,OBC,X,F,2022,2022_round2.pdf,Y
MECH,240103,240103,ST/X/F,ST,X,F,2022,2022_round2.pdf,Y
MECH,229820,258057,ST/X/OP,ST,X,OP,2022,2022_round2.pdf,Y
MECH,277428,277428,OBC/S/OP,OBC,S,OP,2022,2022_round2.pdf,Y
CE,829231,829231,OBC/X/OP,OBC,X,OP,2022,2022_round2.pdf,Y
CSE,363758,455057,UR/X/OP,UR,X,OP,2022,2022_round2.pdf,Y
CSE,553519,553519,ST/X/OP,ST,X,OP,2022,2022_round2.pdf,Y
CSE,630663,630663,SC/X/OP,SC,X,OP,2022,2022_round2.pdf,Y
CSE,721771,721771,FW/OP,FW,OP,OP,2022,2022_round2.pdf,Y
CSE,557510,812922,OBC/X/OP,OBC,X,OP,2022,2022_round2.pdf,Y
EC,100753,100753,UR/X/OP,UR,X,OP,2022,2022_round2.pdf,Y
AIML,457960,498510,UR/X/OP,UR,X,OP,2022,2022_round2.pdf,Y
CSE,150785,150785,FW/OP,FW,OP,OP,2022,2022_round2.pdf,Y
CSE,254250,254250,UR/X/OP,UR,X,OP,2022,2022_round2.pdf,Y
CSE,799822,799822,OBC/X/OP,OBC,X,OP,2022,2022_round2.pdf,Y
IP,360804,487363,SC/X/F,SC,X,F,2023,2023_round1.pdf,Y
IP,424816,763407,SC/X/OP,SC,X,OP,2023,2023_round1.pdf,Y
IP,934394,934394,ST/X/F,ST,X,F,2023,2023_round1.pdf,Y
IP,521568,521568,UR/S/OP,UR,S,OP,2023,2023_round1.pdf,Y
IP,117962,171071,UR/X/F,UR,X,F,2023,2023_round1.pdf,Y
IP,75393,90933,UR/X/OP,UR,X,OP,2023,2023_round1.pdf,AI
IP,89436,139074,UR/X/OP,UR,X,OP,2023,2023_round1.pdf,Y
IT,27578,32558,EWS,EWS,GENERAL,OP,2023,2023_round1.pdf,Y
IT,26783,31409,FW/OP,FW,OP,OP,2023,2023_round1.pdf,Y
IT,979460,979460,OBC/H/F,OBC,H,F,2023,2023_round1.pdf,Y
IT,124256,124256,OBC/NCC/OP,OBC,NCC,OP,2023,2023_round1.pdf,Y
IT,89683,89683,OBC/S/OP,OBC,S,OP,2023,2023_round1.pdf,Y
IT,44711,58612,OBC/X/F,OBC,X,F,2023,2023_round1.pdf,Y
IT,34182,41270,OBC/X/OP,OBC,X,OP,2023,2023_round1.pdf,Y
IT,578285,578285,SC/H/OP,SC,H,OP,2023,2023_round1.pdf,Y
IT,458302,458302,SC/S/OP,SC,S,OP,2023,2023_round1.pdf,Y
IT,153520,180478,SC/X/F,SC,X,F,2023,2023_round1.pdf,Y
IT,132180,157698,SC/X/OP,SC,X,OP,2023,2023_round1.pdf,Y
IT,284286,394150,ST/X/F,ST,X,F,2023,2023_round1.pdf,Y
IT,220538,329025,ST/X/OP,ST,X,OP,2023,2023_round1.pdf,Y
IT,102281,102281,UR/FF/F,UR,FF,F,2023,2023_round1.pdf,Y
IT,469469,469469,UR/H/OP,UR,H,OP,2023,2023_round1.pdf,Y
IT,169522,169522,UR/NCC/F,UR,NCC,F,2023,2023_round1.pdf,Y
IT,170607,170607,UR/S/F,UR,S,F,2023,2023_round1.pdf,Y
IT,47493,50611,UR/S/OP,UR,S,OP,2023,2023_round1.pdf,Y
IT,32452,37932,UR/X/F,UR,X,F,2023,2023_round1.pdf,Y
IT,22584,29747,UR/X/OP,UR,X,OP,2023,2023_round1.pdf,AI
IT,26851,35507,UR/X/OP,UR,X,OP,2023,2023_round1.pdf,Y
MECH,67967,78308,EWS,EWS,GENERAL,OP,2023,2023_round1.pdf,Y
MECH,53066,71707,FW/OP,FW,OP,OP,2023,2023_round1.pdf,Y
MECH,126336,126336,OBC/S/OP,OBC,S,OP,2023,2023_round1.pdf,Y
MECH,70574,97958,OBC/X/F,OBC,X,F,2023,2023_round1.pdf,Y
MECH,66839,74758,OBC/X/OP,OBC,X,OP,2023,2023_round1.pdf,Y
MECH,318477,351581,SC/X/F,SC,X,F,2023,2023_round1.pdf,Y
MECH,174038,330096,SC/X/OP,SC,X,OP,2023,2023_round1.pdf,Y
MECH,464512,557591,ST/X/F,ST,X,F,2023,2023_round1.pdf,Y
MECH,297259,587774,ST/X/OP,ST,X,OP,2023,2023_round1.pdf,Y
MECH,279483,279483,UR/NCC/F,UR,NCC,F,2023,2023_round1.pdf,Y
MECH,214486,214486,UR/S/OP,UR,S,OP,2023,2023_round1.pdf,Y
MECH,228978,228978,UR/S/OP,UR,S,OP,2023,2023_round1.pdf,Y
